code,year,0. Crop production index,1. Mean air temperature,"10. PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11. Arable land (hectares),12. Livestock production index (2014-2016 = 100),13. Population,14. Fertilizers by Nutrient (phosphate P2O5),16. Population living in slums (% of urban population),17. Employment in agriculture (% of total employment) (modeled ILO estimate),18. Temperature change on land,19. Fertilizers by Nutrient (nitrogen N),2. Energy use in agriculture,20. Agriculture land area (sq. km),21. Employment in agriculture,3. Land area (sq. km),4. Agriculture land area (% of land area),5. Average precipitation (mm per year),6. Permanent cropland (% of land area),7. Fertilizer consumption (kilograms per hectare of arable land),"8. Annual freshwater withdrawals, total (billion cubic meters)",9. Fertilizers by Nutrient (potash K2O)
SWZ,1966,,19.81,,149000.0,66.86,398861.0,1800.0,,,0.248,3000.0,,,,17200.0,86.80232558,,0.248,38.9261745,,1000.0
SWZ,1967,,19.91,,153000.0,67.64,409638.0,2000.0,,,-0.3,3500.0,,,,17200.0,87.03488372,,-0.3,42.48366013,,1000.0
SWZ,1968,,19.98,,153000.0,63.3,420373.0,494.0,,,-0.461,3528.0,,,,17200.0,87.09302326,,-0.461,30.92156863,,709.0
SWZ,1969,,19.89,,149000.0,62.38,431366.0,479.0,,,0.293,3892.0,,,,17200.0,86.86046512,,0.293,36.04026846,,999.0
SWZ,1970,,19.94,,149000.0,68.53,442865.0,1697.0,,,0.446,2855.0,,,,17200.0,86.86046512,,0.446,40.42281879,,1471.0
SWZ,1971,,19.91,,149000.0,71.02,454913.0,2397.0,,,-0.019,3217.0,,,,17200.0,86.86046512,,-0.019,48.82550336,,1661.0
SWZ,1972,,19.9,,168000.0,79.87,467512.0,2274.0,,,-0.408,2188.0,,,,17200.0,87.96511628,,-0.408,39.625,,2195.0
SWZ,1973,,19.99,,168000.0,78.58,480668.0,3567.0,,,0.1,5320.0,,,,17200.0,87.96511628,,0.1,75.85714286,,3857.0
SWZ,1974,49.87,20.02,,155000.0,77.88,494624.0,1100.0,,,-0.245,5300.0,,,,17200.0,86.1627907,,-0.245,59.35483871,,2800.0
SWZ,1975,50.7,19.93,,167000.0,79.71,509535.0,1500.0,,,-0.371,5500.0,,,,17200.0,76.3372093,,-0.371,56.28742515,,2400.0
SWZ,1976,51.94,20.02,,161000.0,84.06,525457.0,3994.0,,,-0.46,4394.0,,,,17200.0,79.70930233,,-0.46,65.0310559,,2082.0
SWZ,1977,49.36,20.02,,149000.0,77.8,542328.0,3183.0,,,0.286,4591.0,,,,17200.0,80.98837209,,0.286,65.48322148,,1983.0
SWZ,1978,57.46,19.97,,188000.0,86.45,560236.0,4764.0,,,0.187,6175.0,,,,17200.0,80.98837209,,0.187,83.94680851,,4843.0
SWZ,1979,54.65,19.9,,184000.0,90.43,579091.0,4099.0,,,0.225,7189.0,,,,17200.0,77.90697674,,0.225,79.31521739,,3306.0
SWZ,1980,64.34,20.14,,183000.0,93.21,598564.0,6583.0,,,-0.139,8542.0,,,,17200.0,75.05813953,,-0.139,111.0546448,0.657,5198.0
SWZ,1981,71.3,20.07,,134000.0,86.99,616210.0,6583.0,,,-0.437,6379.0,,,,17200.0,74.65116279,,-0.437,129.5671642,0.67625,4400.0
SWZ,1982,68.32,20.0,,133000.0,89.42,634439.0,3686.0,,,0.09,6610.0,,,,17200.0,74.76744186,,0.09,105.6842105,0.6955,3760.0
SWZ,1983,66.9,19.99,,133000.0,94.68,655505.0,5000.0,,,0.832,10000.0,,,,17200.0,74.88372093,,0.832,130.075188,0.71475,2300.0
SWZ,1984,77.54,20.07,,169000.0,79.24,677303.0,2000.0,,,-0.119,4500.0,,,,17200.0,73.77906977,,-0.119,50.29585799,0.734,2000.0
SWZ,1985,78.36,20.03,,154000.0,84.54,702400.0,1856.0,,,0.432,5270.0,,,,17200.0,74.65116279,,0.432,57.12987013,0.75325,1672.0
SWZ,1986,84.82,20.16,,154000.0,89.7,730150.0,2578.0,,,0.183,6000.0,,,,17200.0,77.26744186,,0.183,76.87662338,0.7725,3261.0
SWZ,1987,80.82,20.09,,164000.0,96.24,758669.0,3306.0,,,0.433,7079.0,,,,17200.0,75.98837209,,0.433,82.25,0.79175,3104.0
SWZ,1988,84.7,20.24,,177000.0,80.37,794434.0,3495.0,,,0.485,7249.0,,,,17200.0,74.70930233,,0.485,78.02259887,0.811,3066.0
SWZ,1989,84.72,20.04,,192000.0,81.95,825952.0,3495.0,,,0.014,7249.0,,,,17200.0,73.48837209,,0.014,71.92708333,0.83025,3066.0
SWZ,1990,87.74,20.45,24.03028353,180000.0,77.33,854011.0,2936.0,,,0.181,7572.0,428.4,,,17200.0,71.97674419,788,0.181,74.42777778,0.8495,2889.0
SWZ,1991,84.32,20.24,24.15349401,183000.0,87.84,889712.0,2500.0,,20.3194885055505,0.434,6000.0,428.4,,,17200.0,71.3372093,,0.434,62.84153005,0.86875,3000.0
SWZ,1992,79.3,19.83,24.23323871,179000.0,95.33,925165.0,2500.0,,20.0868875762964,1.067,6700.0,471.6,,,17200.0,71.10465116,,1.067,69.27374302,0.888,3200.0
SWZ,1993,72.23,19.86,24.27715365,178000.0,100.18,953451.0,2300.0,,19.7966814891037,0.675,6300.0,471.6,,,17200.0,71.04651163,,0.675,65.16853933,0.90725,3000.0
SWZ,1994,75.04,20.12,24.29287483,178000.0,93.08,953737.0,2300.0,,19.6741936385749,-0.057,1600.0,468.0,,,17200.0,71.04651163,,-0.057,27.52808989,0.9265,1000.0
SWZ,1995,70.23,20.23,24.28803826,178000.0,92.65,953573.0,2494.0,,19.4812291834495,0.536,1601.0,475.2,,,17200.0,71.04651163,,0.536,28.62359551,0.94575,1000.0
SWZ,1996,76.94,20.17,24.23733233,178000.0,90.39,973587.0,1704.0,,19.1741810820758,-0.12,1520.0,482.4,,,17200.0,71.04651163,,-0.12,23.73033708,0.965,1000.0
SWZ,1997,80.71,20.3,24.12042308,178000.0,73.66,990734.0,1800.0,,18.8481368114058,0.168,1600.0,486.0,,,17200.0,71.10465116,,0.168,29.21348315,0.98425,1800.0
SWZ,1998,79.57,20.34,23.95241303,178000.0,73.45,1005158.0,1900.0,,18.6367288634943,0.879,2000.0,486.0,,,17200.0,71.10465116,,0.879,32.58426966,1.0035,1900.0
SWZ,1999,86.82,20.23,23.74840469,178000.0,68.23,1018370.0,1900.0,,18.405470990514,0.377,1700.0,491.04,,,17200.0,71.10465116,,0.377,30.8988764,1.02275,1900.0
SWZ,2000,77.46,20.42,23.52350058,178000.0,80.14,1030496.0,1900.0,55.35217,18.3637094378528,-0.231,2000.0,486.0,,,17200.0,71.10465116,788,-0.231,32.58426966,1.042,1900.0
SWZ,2001,77.84,20.41,23.10924389,178000.0,73.05,1041396.0,2500.0,,18.1613553922205,0.389,2000.0,522.0,,,17200.0,71.1627907,,0.389,39.3258427,1.0472,2500.0
SWZ,2002,83.95,20.4,22.45442095,178000.0,86.64,1050809.0,2849.28,55.35217,17.8421832572403,0.608,6076.8,576.0,,,17200.0,71.1627907,,0.608,59.86516854,1.0524,1729.92
SWZ,2003,83.74,20.34,21.74999897,178000.0,87.01,1058797.0,2568.96,,17.4276199970306,0.79,5391.36,563.76,,,17200.0,71.1627907,,0.79,53.9541573,1.0576,1643.52
SWZ,2004,87.09,20.46,21.18694515,178000.0,80.95,1065764.0,2976.0,55.35217,16.9938049114897,0.68,5600.64,729.36,,,17200.0,71.1627907,,0.68,58.92674157,1.0628,1912.32
SWZ,2005,90.98,20.59,20.9562267,178000.0,91.79,1071886.0,2102.4,,16.6108539965634,0.97,4583.04,563.04,,,17200.0,71.1627907,,0.97,46.22022472,1.068,1541.76
SWZ,2006,86.86,20.44,21.04365154,177000.0,96.47,1077735.0,2801.28,47.92817,16.1767946612337,0.089,5913.6,555.48,,,17200.0,71.10465116,,0.089,61.11457627,1.068,2102.4
SWZ,2007,85.42,20.44,21.25341578,177000.0,93.31,1084008.0,2653.44,,15.7967487749967,0.825,6065.28,658.08,,,17200.0,71.10465116,,0.825,59.92135593,1.068,1887.36
SWZ,2008,87.17,20.39,21.50406893,177000.0,96.63,1089870.0,2490.24,40.50418,15.4947174787153,0.307,5710.08,645.48,,,17200.0,71.10465116,,0.307,54.80135593,1.068,1499.52
SWZ,2009,88.47,20.36,21.71416048,177000.0,98.09,1094886.0,2435.8,,15.212188640584,0.082,5743.7,688.32,,,17200.0,71.1627907,,0.082,54.65988701,1.068,1495.3
SWZ,2010,93.29,20.51,21.80223993,177000.0,99.67,1099920.0,2344.6,33.08018,14.8779615872654,0.919,5656.3,785.88,,,17200.0,70.99088953,,0.919,53.46836158,1.068,1463.0
SWZ,2011,95.85,20.65,20.66140671,177000.0,102.44,1105371.0,2616.3,,14.6288722975343,0.903,6047.7,759.96,,,17200.0,70.98837209,,0.903,58.55649718,1.068,1700.5
SWZ,2012,98.23,20.66,21.13945882,177000.0,105.22,1111444.0,2688.5,25.65619,14.2853366664527,0.311,6338.4,831.96,,,17200.0,70.93023256,,0.311,60.9180791,1.068,1755.6
SWZ,2013,100.6,20.67,20.97358885,177000.0,105.11,1118319.0,3784.8,,13.9565349701994,0.173,6102.8,785.16,,,17200.0,70.85735465,,0.173,66.86497175,1.068,1947.5
SWZ,2014,101.71,20.67,20.78155051,177000.0,100.82,1125865.0,3705.0,18.23219,13.7459300014949,0.341,5857.7,867.6,12160.00000024,154760.61481133054,17200.0,70.69767442,788,0.341,65.08305085,1.068,1957.0
SWZ,2015,100.11,,21.04861758,177000.0,100.74,1133936.0,3744.9,,13.4427509346932,0.899,5352.3,901.8,12120.000000160002,152432.19223882267,17200.0,70.46511628,788,0.899,62.10960452,1.068,1896.2
SWZ,2016,98.18,,18.92037806,177000.0,98.43,1142524.0,3334.5,10.8082,13.2046041118705,0.91,5035.0,895.32,12080.00000008,150865.7710831073,17200.0,70.23255814,788,0.91,57.3220339,1.068,1776.5
SWZ,2017,102.14,,20.26132158,177000.0,99.22,1151390.0,3809.5,,13.2081311840298,0.698,6967.3,1148.4,12040.0,152077.1016398007,17200.0,70.0,788,0.698,71.84576271,1.068,1939.9
SWZ,2018,104.89,,20.42432931,177000.0,98.97,1160428.0,3541.6,10.8082,13.268379461572,1.113,5833.0,1285.2,12010.0000008,153969.99041833074,17200.0,69.8255814,788,1.113,63.59096045,1.068,1881.0
SWZ,2019,106.06,,21.16663653,177000.0,99.45,1169613.0,4229.55,,13.3093342454341,1.59,7330.05,871.2,11970.000000719998,155667.70354804912,17200.0,69.59302326,788,1.59,63.33333333,1.068,3114.15
SWZ,2020,105.5,,18.78312114,177000.0,99.95,1180655.0,3615.3,10.8082,13.5554123979136,0.563,7569.9,874.8,11950.00000068,160042.6542465868,17200.0,69.47674419,788,0.563,61.95932203,1.068,3196.05
SWZ,2021,105.66,,,177000.0,100.3,1192271.0,4457.7,,13.6490853287543,0.4,8143.2,792.0,11950.00000068,162734.08613999217,17200.0,69.47674419,788,0.4,57.77378531,1.068,3679.65
SWZ,2022,107.49,,,,100.16,1201670.0,4457.7,,13.4468016194332,1.077,8143.2,792.0,,,,,..,1.077,,,3679.65
SWZ,2023,..,,,,,1210822.0,,,,0.746,,,,,,,..,0.746,,,
